TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	pl_PL
164	HideAndSeekModelName		▢FF00FFFF还有▢FFFF0000%1s▢FF00FFFF存活	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFApenas ▢FFFF0000%1s▢FF00FFFF hiders restantes	▢FF00FFFFОстались только ▢FFFF0000%1s▢FF00FFFF прячущиеся	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFHanya ▢FFFF0000%1s▢FF00FFFF penyembunyi tersisa	▢FF00FFFFยังมี▢FFFF0000%1s▢FF00FFFFอยู่รอด	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FF00残り:▢FFFF0000%1s	▢FFFF0000%1s▢FF00FFFF pozostałych użytkowników
165	MsgGameOverByDBError		▢FFFF0000数据加载出错。▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000Loading Game Data Error.▥	▢FFFF0000データロードエラー	▢FFFF0000Ładowanie błędu danych gry.▥
166			▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您今日游戏时间已经用完，无法进行游戏。▥
167			▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	▢FFFF0000根据防沉迷规则，您在每日20:00-次日8:00，无法进行游戏。▥	
10001	EggWar	龙蛋战争	龙蛋战争	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg War	Egg Wars	Egg War	Egg War	Egg War	Egg War
10002	EggWarHighestLevel	最高等级	当前%1s级%2s，每%4s秒产出%3s个。已到达最高等级	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s на Ур %1s, %3s ресурсов каждые %4s сек. Максимальный Уровень	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s di Lv %1s, %3s barang setiap %4s detik. Level Maksimal	ในขณะนี้%1sเกรด%2s，ทุก%4sวินาทีจะผลิต%3sอัน。ได้ถึงเกรดสูงสุดแล้ว	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max	%2s at Lv %1s, %3s items every %4s seconds. Level Max
10003	EggWarUpgrade	升级需要	当前%1s级%2s，每%4s秒产出%3s个。升级需要	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s на Ур %1s, %3s ресурсов каждые %4s сек. Улучшение стоит	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s di Lv %1s, %3s barang setiap %4s detik. Memperbaharui dengan biaya	ในขณะนี้%1sเกรด%2s，วินาทีจะผลิต%3sอัน。อัพเกรดต้องการ	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs	%2s at Lv %1s, %3s items every %4s seconds. Upgrade costs
10004	EggWarIron		铁点	Iron	Ferro	Железо	Iron	Iron	Iron	Iron	Iron	Besi	จุดเหล็ก	Iron	Iron	鉄	Żelazo
10005	EggWarGold		金点	Gold	Ouro	Золото	Gold	Gold	Gold	Gold	Gold	Emas	จุดทอง	Gold	Gold	金	Złoto
10006	EggWarDiamond		钻石点	Diamond	Diamante	Алмаз	Diamond	Diamond	Diamond	Diamond	Diamond	Permata	จุดเพชร	Diamond	Diamond	ダイヤモンド	Diament
10007	EggWarBreakEgg		%1s▢FFFFFFFF队的龙蛋已经被破坏，破坏者是%2s。▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFO ovo de dragão da equipe%1s▢FFFFFFFF foi destruído pela equipe%2s.▥	▢FFFFFFFFЯйцо дракона команды %1s ▢FFFFFFFFбыло уничтожено командой %2s.	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFTelur Naga milik tim %1s ▢FFFFFFFFtelah dihancurkan oleh tim %2s.▢	▢FFFFFFFFไข่มังกรของทีม%1sถูกทำลายแล้ว ผู้ทำลายคือ%2s。▢	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	▢FFFFFFFFThe Dragon egg of team %1s ▢FFFFFFFFhas been destroyed by team %2s.▥	%1s▢FFFFFFFFチームの龍の卵は破壊されました.破壊者は%2sです. 	▢FFFFFFFFSmocze jajo drużyny %1s ▢FFFFFFFFzostało zniszczone przez drużynę %2s.
10008	TinyTown	小镇	迷你小镇	MiniTown	MiniTown	MiniTown	MiniTown	MiniTown	MiniTown	MiniTown	MiniTown	Kota Mini	Mini Town	MiniTown	MiniTown	Mini Town	MiniTown
																	
20001	HideAndSeekFindFalse		▢FF00FFFF你找错了，扣一滴血	▢FF00FFFFWrong target,HP-1	▢FF00FFFFAlvo errado, HP-1	▢FF00FFFFОшибка, -1 жизнь	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFSalah sasaran,Darah-1	▢FF00FFFFเป้าหมายผิด HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFF間違ったターゲット、HP-1	▢FF00FFFFNieprawidłowy cel, HP-1
20002	HideAndSeekFindTrue		▢FF00FFFF你找到了%1s，加一滴血	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFVocê encontrou%1s e HP + 1	▢FF00FFFFВы нашли%1s и получили +1 жизнь	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFAnda menemukan%1s dan Darah+1	▢FF00FFFFคุณหา%1sได้แล้ว，HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFあなたは%1sとHP + 1を発見しました	▢FF00FFFFZnaleziono%1s , HP+1
20003	HideAndSeekHideFinded		▢FF00FFFF你被搜寻者找到了	▢FF00FFFFYou are found	▢FF00FFFFVocê é encontrado	▢FF00FFFFВы были найдены	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFAnda ditemukan	▢FF00FFFFคุณถูกผู้หาหาได้แล้ว	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFあなたが見つかります	▢FF00FFFFJesteś znaleziony
20004	HideAndSeekHideLast		▢FF00FFFF一个躲藏者被找到了，剩余▢FFFF0000%1s▢FF00FFFF个躲藏者	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider é encontrado, FFFF0000%1s▢FF00FFFFhiders restantes	▢FF00FFFFПрячущийся был найден,▢FFFF0000%1s▢FF00FFFFосталось прячущихся	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFSeorang penyembunyi telah ditemukan,▢FFFF0000%1s▢FF00FFFFpenyembunyi tersisa	▢FF00FFFFผู้ซ่อน1คนภูกหาได้แล้ว เหลือ▢FFFF0000%1s▢FF00FFFFผู้ซ่อน%1sคน	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA隠れている人が見つかりました 残り:▢FFFF0000%1s	▢FF00FFFFZnaleziono ukrytą osobę,Pozostałe:▢FFFF0000%1s
20005	HideAndSeekModelName		邮筒	postbox	Caixa postal	почтовый ящик	postbox	postbox	postbox	postbox	postbox	Kotak Pos	ตู้จดหมาย	postbox	postbox	郵便ポスト	Skrzynka pocztowa
20006	HideAndSeekModelName		移动厕所	portable toilets	Banheiros portáteis	переносные туалеты	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	Toilet Portabel	ห้องน้ำเคลื่อนที่	portable toilets	portable toilets	移動式トイレ	przenośne toalety
20007	HideAndSeekModelName		铁砧	anvil	Bigorna	наковальня	anvil	anvil	anvil	anvil	anvil	Anvil	เขียงเหล็ก	anvil	anvil	アンビル	kowadło
20008	HideAndSeekModelName		箭靶	target	Alvo	мишень	target	target	target	target	target	Sasaran	เป้าลูกศร	target	target	矢印ターゲット	cel
20009	HideAndSeekModelName		人形箭靶	target	Alvo	мишень	target	target	target	target	target	Sasaran	เป้าลูกศรรูปคน	target	target	ヒューマノイドアーチェリーターゲット	cel
20010	HideAndSeekModelName		木制手推车	wooden handcart	Carrinho de mão de madeira	деревянная тележка	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	Gerobak Kayu	รถเข็นไม้	wooden handcart	wooden handcart	木製台車	drewniany wózek
20011	HideAndSeekModelName		晾衣绳	washing line	Linha de lavagem	бельевая веревка	washing line	washing line	washing line	washing line	washing line	Jemuran	เชือกตากเสื้อ	washing line	washing line	洗濯物	linia do prania
20012	HideAndSeekModelName		垃圾桶	trash can	Lixeira	мусорное ведро	trash can	trash can	trash can	trash can	trash can	Tempat sampah	ถังขยะ	trash can	trash can	ゴミ箱	kosz na śmieci
20013	HideAndSeekModelName		交通灯	traffic lights	Luzes de trânsito	светофоры	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	Lampu Lalu Lintas	ไฟจราจร	traffic lights	traffic lights	信号機	sygnalizacja świetlna
20014	HideAndSeekModelName		草丛	thicket	Moita	зарости	thicket	thicket	thicket	thicket	thicket	Belukar	กลุ่มหญ้า	thicket	thicket	草	gąszcz
20015	HideAndSeekModelName		电话亭	telephone box	Cabine telefônica	телефонная будка	telephone box	telephone box	telephone box	telephone box	telephone box	Box telpon	บูธโทรศัพท์	telephone box	telephone box	電話ボックス	Budka telefoniczna
20016	HideAndSeekModelName		秋千	swing	Balanço	качели	swing	swing	swing	swing	swing	Ayunan	ชิงช้่า	swing	swing	スイング	huśtawka
20017	HideAndSeekModelName		路灯	streetlight	Iluminação pública	уличный фонарь	streetlight	streetlight	streetlight	streetlight	streetlight	Lampu Jalanan	ไฟถนน	streetlight	streetlight	街路灯	światła
20018	HideAndSeekModelName		垃圾袋	rubbish bag	Saco de lixo	мешок для мусора	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	Tas Sampah	ถุงขยะ	rubbish bag	rubbish bag	ゴミ袋	worek na śmieci
20019	HideAndSeekModelName		广告板	poster board	Cartolina	афиша	poster board	poster board	poster board	poster board	poster board	Papan Poster	บอร์ดโฆษณา	poster board	poster board	広告ボード	deska plakatowa
20020	HideAndSeekModelName		刀	knife	Faca	нож	knife	knife	knife	knife	knife	Pisau	มีด	knife	knife	ナイフ	nóż
20021	HideAndSeekModelName		狗屋	kennel	Canil	конура	kennel	kennel	kennel	kennel	kennel	Kandang	เรือนหมา	kennel	kennel	ドッグハウス	psiarnia
20022	HideAndSeekModelName		喷泉	fountain	Fonte	фонтан	fountain	fountain	fountain	fountain	fountain	Air Mancur	น้ำพุ	fountain	fountain	噴水	fontanna
20023	HideAndSeekModelName		热狗车	food truck	Carro de comida	закусочная на колесах	food truck	food truck	food truck	food truck	food truck	Truk Makanan	รถหมาร้อน	food truck	food truck	ホットドッグカート	Ciężarówka z żywnością
20024	HideAndSeekModelName		垃圾箱	dustbin	Caixote de lixo	мусорный ящик	dustbin	dustbin	dustbin	dustbin	dustbin	Tempat Sampah	กล่องขยะ	dustbin	dustbin	ゴミ箱	pojemnik na śmieci
20025	HideAndSeekModelName		碟子	dish	Prato	блюдо	dish	dish	dish	dish	dish	Piring	จานเล็ก	dish	dish	プレート	danie
20026	HideAndSeekModelName		杯子	cup	Copo	кружка	cup	cup	cup	cup	cup	Cup	แก้ว	cup	cup	カップ	Puchar
20027	HideAndSeekModelName		纸箱	carton	Caixa	коробка	carton	carton	carton	carton	carton	Karton	กล่องกระดาษ	carton	carton	カートン	karton
20028	HideAndSeekModelName		四轮马车	carriage	Transporte	перевозка	carriage	carriage	carriage	carriage	carriage	Pengangkutan	รถม้าสี่ล้อ	carriage	carriage	四輪キャリッジ	wagon
20029	HideAndSeekModelName		水桶	barrel	Barril	бочка	barrel	barrel	barrel	barrel	barrel	Barel	ถังน้ำ	barrel	barrel	バケツ	beczka
20030	HideAndSeekModelName		斧头	axe	Machado	топор	axe	axe	axe	axe	axe	Kapak	ขวาน	axe	axe	斧	topór
20031	HideAndSeekModelName		广告灯箱	ad lamp case	Caixa de luz	рекламный светильник	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	Kasus Lampu Iklan	กล่องไฟโฆษณา	ad lamp case	ad lamp case	広告ライトボックス	obudowa lampy reklamowej
20032	HideAndSeekModelName		木箱	wooden box	Caixa de madeira	деревянная коробка	wooden box	wooden box	wooden box	wooden box	wooden box	Box Kayu	กล่องไม้	wooden box	wooden box	木箱	drewniane pudło
20033	HideAndSeekModelName		长椅	wooden bench	Banco de madeira	деревянный забор	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	Kursi Kayu	เก้าอี้ยาว	wooden bench	wooden bench	ベンチ	drewniana ławka
20034	HideAndSeekModelName		水井	well	Bem	колодец	well	well	well	well	well	Tangki air	บ่อน้ำ	well	well	井戸水	dobrze
20035	HideAndSeekModelName		水槽	trough	Cocho	кормушка	trough	trough	trough	trough	trough	Tangki air	รางน้ำ	trough	trough	流し	przez
20036	HideAndSeekModelName		树	tree	Árvore	дерево	tree	tree	tree	tree	tree	Pohon	ต้นไม้	tree	tree	木	drzewo
20037	HideAndSeekModelName		墓碑	tombstone	Lápide	надгробная плита	tombstone	tombstone	tombstone	tombstone	tombstone	Batu Nisan	ศิลาจารึกหน้าสุสาน	tombstone	tombstone	墓石	nagrobek
20038	HideAndSeekModelName		石墙	stonewall	Parede de pedra	каменная стена	stonewall	stonewall	stonewall	stonewall	stonewall	Tembok Batu	กำแพงหิน	stonewall	stonewall	石の壁	Kamienna ściana
20039	HideAndSeekModelName		南瓜	pumpkin	Abóbora	тыква	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	Labu	ฟักทอง	pumpkin	pumpkin	かぼちゃ	dynia
20040	HideAndSeekModelName		干草堆	mow	Cortar	стог сена	mow	mow	mow	mow	mow	Tumpukan jerami	กองหญ้าแห้ง	mow	mow	干し草の山	kosić
20041	HideAndSeekModelName		金属垃圾桶	metal trash can	Lixeira de metal	металлическая мусорная корзина	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	Tempat Sampah Logam	ถังขยะโลหะ	metal trash can	metal trash can	金属製ゴミ箱	metalowy kosz na śmieci
20042	HideAndSeekModelName		栅栏	fence	Cerca	забор	fence	fence	fence	fence	fence	Pagar	รั้ว	fence	fence	フェンス	płot
20043	HideAndSeekModelName		长餐椅	dining chair	Cadeira de jantar	обеденный стул	dining chair	dining chair	dining chair	dining chair	dining chair	Kursi Makan	เก้าอี้ยาว	dining chair	dining chair	ロングダイニングチェア	krzesło do jadalni
20044	HideAndSeekModelName		桌子	desk	Escrivaninha	письменный стол	desk	desk	desk	desk	desk	Meja	โต้ะ	desk	desk	表	biurko
20045	HideAndSeekModelName		自动售货机	coin machine	Máquina de moedas	машина для монет	coin machine	coin machine	coin machine	coin machine	coin machine	Mesin Koin	เครื่องขายของโดยอัตโนมัติ	coin machine	coin machine	自動販売機	maszyna do monet
20046	HideAndSeekModelName		棺材	coffin	Caixão	гроб	coffin	coffin	coffin	coffin	coffin	Peti Mati	โลง	coffin	coffin	棺桶	trumna
20047	HideAndSeekModelName		酒桶	cask	Barril	бочка	cask	cask	cask	cask	cask	Tong anggur	ถังเหล้า	cask	cask	ワイン樽	beczka
20048	HideAndSeekModelName		篝火	bonfire	Fogueira	костер	bonfire	bonfire	bonfire	bonfire	bonfire	Api Unggun	ไฟแค้มป์	bonfire	bonfire	たき火	ognisko
20049	HideAndSeekModelName		汽车	car	Carro	машина	car	car	car	car	car	Mobil	รถยนต์	car	car	車	samochód
20050	HideAndSeekFindFalse		▢FF00FFFF你找错了	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFVocê escolheu um alvo errado.	▢FF00FFFFВы выбрали неправильную цель.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFAnda salah memilih sasaran.	▢FF00FFFFคุณหาผิดแล้ว	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FF00間違ったターゲット	▢FF00FFFF Błędny cel
20051	HideAndSeekFind45Second		▢FF00FFFF游戏还有▢FFFF0000%1s秒▢FF00FFFF结束，躲藏者找错不再扣血	▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	▢FFFF0000%1s sec restante▢FF00FFFF▢ HP não vai reduzir agora	 ▢FFFF0000%1s секунд осталось ▢FF00FFFF，жизни теперь не будут убавлятся	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	▢FFFF0000%1s detik tersisa ▢FF00FFFF,HP tidak akan berkurang sekarang	▢FF00FFFFเกมยังเหลือ▢FFFF0000%1sวินาที▢FF00FFFFจะเสร็จ，ผู้ซ่อนหาผิดจะไม่หักเลือดอีก	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	▢FF00FF00残り時間:▢FFFF0000%1s 秒 HPはもう減りません	▢FFFF0000%1s sec Pozostałe. ▢FF00FFFF HP nie zmniejszy się teraz
20052	CreepyAliensName	Aliens Attack	异星入侵	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack 	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack
20053	CreepyAliensLongWaitingHint		▢FFFF0000当前等待时间过长，建议退出游戏重入	▢FFFF0000The current waiting time is too long, it`s recommended to exit and re-enter	▢FFFF0000O tempo de espera atual é muito longo	▢FFFF0000Текущее время ожидания слишком долгое, рекомендуется выйти из игры и зайти заново.	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000Waktu menunggu sudah terlalu lama, di rekomodasikan untuk keluar dan masuk lagi	▢FFFF0000ขณะนี้เวลารอนานเกิน แนะนำให้ล็อกเอาต์จากเกมแล้วเข้าใหม่	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000は現在あまりにも長い間待っている、それはゲームの再入場を終了することをお勧めします	▢FFFF0000Bieżący czas oczekiwania jest za długi, zaleca się wyjście i ponowne wejście
20054	CreepyAliensSelectMapHint		▢FF00FF00游戏开始，当前地图▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Início do jogo	▢FF00FF00Игра началась, текущая карта▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Permainan dimulai, Tempat yang dimainkan sekarang adalah ▢FFFF0000[%1s]	▢FF00FF00เกมเริ่ม，แผนที่ขณะนี้▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00ゲーム開始、現在の地図▢FFFF0000[%1s]	▢FF00FF00Gra start, aktualna mapa to▢FFFF0000[%1s]
20055	CreepyAliensUpgrade		▢FFFFD700恭喜你，升级了	▢FFFFD700Congratulations, level up	▢FFFFD700Parabéns	▢FFFFD700Поздравляем, Вы повысили уровень!	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Selamat, Naik level	▢FFFFD700ขอแสดงความยินดี คุณได้อัพเกรดแล้ว	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700おめでとうございます、アップグレードしました	▢FFFFD700 Gratulacje, poziom wyżej
20056	CreepyAliensCongratulation		▢FFFFD700恭喜你们通关了，成为最强守卫者	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Parabéns pela sua autorização e torne-se o mais forte defensor	▢FFFFD700Поздравляем Вас за то, что вы расчистили всех инопланетян, и стали самыми мощными защитниками	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Selamat telah menjadi pembela terkuat!	▢FFFFD700ขอแสดงความยินดี คุณได้กลายเป็นผู้พิทักษ์ที่เก่งที่สุด	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700Congratulations on your clearance and become the strongest defenders	▢FFFFD700あなたのクリアランスを祝福し、最強のディフェンダーになりましょう	▢FFFFD700 Gratulacje dla twojego odprawy i zostań najsilniejszym obrońcą
20057	CreepyAliensFailed		▢FFFF0000很遗憾，你们失败了，请下次再接再厉	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Desculpe você falhou. Derrote monstros alienígenas na próxima vez.	▢FFFF0000К сожалению, вы провалились. Уничтожайте инопланетян в следующий раз.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Maaf atas kegagalan anda. Kalahkan monster alien lain kali.	▢FFFF0000เสียดายมาก พวกคุณล้มเหลวแล้ว โปรดสู้ๆในโอกาศหน้า	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000Sorry that you have failed. Defeat alien monsters next time.	▢FFFF0000残念ながら、あなたは失敗しました.	▢FFFF0000 Przepraszam, że nie powiodło się. Następnym razem pokonaj potwory obcych.
